System time: 0 | Packet number: 2 | Type: 2 | Mode: 2 | Battery: 2 | Roll: 5 | Pitch: 245 | Height: 0
Packet number: 3 | Type: 10 | Motor1: 40 | Motor2: 40 | Motor3: 40 | Motor4: 40
Packet number: 7 | Type: 10 | Motor1: 69 | Motor2: 69 | Motor3: 69 | Motor4: 69
Packet number: 9 | Type: 10 | Motor1: 80 | Motor2: 80 | Motor3: 80 | Motor4: 80
System time: 0 | Packet number: 11 | Type: 2 | Mode: 2 | Battery: 2 | Roll: 5 | Pitch: 244 | Height: 0
Packet number: 12 | Type: 10 | Motor1: 89 | Motor2: 89 | Motor3: 89 | Motor4: 89
Packet number: 14 | Type: 10 | Motor1: 97 | Motor2: 97 | Motor3: 97 | Motor4: 97
System time: 0 | Packet number: 16 | Type: 2 | Mode: 2 | Battery: 2 | Roll: 7 | Pitch: 245 | Height: 0
Packet number: 17 | Type: 10 | Motor1: 105 | Motor2: 105 | Motor3: 105 | Motor4: 105
Packet number: 19 | Type: 10 | Motor1: 113 | Motor2: 113 | Motor3: 113 | Motor4: 113
Packet number: 21 | Type: 10 | Motor1: 120 | Motor2: 120 | Motor3: 120 | Motor4: 120
Packet number: 23 | Type: 10 | Motor1: 126 | Motor2: 126 | Motor3: 126 | Motor4: 126
Packet number: 25 | Type: 10 | Motor1: 132 | Motor2: 132 | Motor3: 132 | Motor4: 132
System time: 0 | Packet number: 27 | Type: 2 | Mode: 2 | Battery: 2 | Roll: 7 | Pitch: 245 | Height: 0
Packet number: 28 | Type: 10 | Motor1: 138 | Motor2: 138 | Motor3: 138 | Motor4: 138
Packet number: 30 | Type: 10 | Motor1: 144 | Motor2: 144 | Motor3: 144 | Motor4: 144
Packet number: 32 | Type: 10 | Motor1: 149 | Motor2: 149 | Motor3: 149 | Motor4: 149
Packet number: 34 | Type: 10 | Motor1: 149 | Motor2: 152 | Motor3: 149 | Motor4: 146
Packet number: 36 | Type: 10 | Motor1: 149 | Motor2: 152 | Motor3: 149 | Motor4: 146
Packet number: 38 | Type: 10 | Motor1: 149 | Motor2: 152 | Motor3: 149 | Motor4: 146
Packet number: 40 | Type: 10 | Motor1: 149 | Motor2: 155 | Motor3: 149 | Motor4: 143
Packet number: 42 | Type: 10 | Motor1: 149 | Motor2: 155 | Motor3: 149 | Motor4: 143
Packet number: 44 | Type: 10 | Motor1: 149 | Motor2: 157 | Motor3: 149 | Motor4: 140
Packet number: 46 | Type: 10 | Motor1: 149 | Motor2: 157 | Motor3: 149 | Motor4: 140
Packet number: 48 | Type: 10 | Motor1: 149 | Motor2: 157 | Motor3: 149 | Motor4: 140
Packet number: 50 | Type: 10 | Motor1: 149 | Motor2: 165 | Motor3: 149 | Motor4: 131
Packet number: 52 | Type: 10 | Motor1: 149 | Motor2: 178 | Motor3: 149 | Motor4: 114
Packet number: 54 | Type: 10 | Motor1: 149 | Motor2: 191 | Motor3: 149 | Motor4: 89
Packet number: 56 | Type: 10 | Motor1: 149 | Motor2: 200 | Motor3: 149 | Motor4: 67
Packet number: 58 | Type: 10 | Motor1: 149 | Motor2: 200 | Motor3: 149 | Motor4: 67
Packet number: 60 | Type: 10 | Motor1: 149 | Motor2: 202 | Motor3: 149 | Motor4: 60
Packet number: 62 | Type: 10 | Motor1: 149 | Motor2: 204 | Motor3: 149 | Motor4: 53
Packet number: 64 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 66 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 68 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 70 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 72 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 74 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
System time: 0 | Packet number: 76 | Type: 2 | Mode: 2 | Battery: 2 | Roll: 7 | Pitch: 245 | Height: 0
Packet number: 77 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 79 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 81 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 83 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 85 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 87 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 89 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 91 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 93 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 95 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 97 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 99 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 101 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 103 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 105 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 107 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 109 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 111 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 113 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 115 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 117 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 119 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 121 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 123 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 125 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65409 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65411 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65413 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65415 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65417 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65419 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
